Year,Month,Three_Component_Index,News_Based_Policy_Uncert_Index
2017,9,96.75076294,116.620018
2017,10,102.1605759,125.8658524
2017,11,94.48960114,111.2826843
2017,12,111.4972229,140.350174
2018,1,123.6515579,160.9672089
2018,2,94.0074234,114.7555618
2018,3,136.3343201,187.095871
2018,4,108.2137375,139.0353699
2018,5,124.9366455,162.2766876
2018,6,108.6273956,134.402771
2018,7,133.0862579,176.2050934
2018,8,99.13562012,114.96138
2018,9,102.660202,120.9851913
2018,10,111.512558,136.1146545
2018,11,130.2238617,164.9421997
2018,12,166.2868042,226.576889
2019,1,201.0319977,284.1359253
2019,2,106.9006577,123.6392822
2019,3,140.2473755,180.6316833
2019,4,98.73669434,109.6863632
2019,5,122.538765,160.8581543
2019,6,150.1167755,207.9913788
2019,7,149.9729004,207.7454681
2019,8,190.4632416,282.5229492
2019,9,134.3617859,186.6407013
2019,10,118.4882202,159.5113983
2019,11,131.7507019,170.4803467
2019,12,143.4672394,190.5049133
2020,1,131.3911133,164.7553253
2020,2,160.5156403,216.1912079
2020,3,283.1472168,425.7792053
2020,4,268.616394,400.9447327
2020,5,350.4598389,503.9633484
2020,6,231.2597809,300.2401428
2020,7,305.9958191,427.9705505
2020,8,220.6937561,257.0920715
